Target;Date;Minutes;Day;Holiday;Temperature;Wind;Cloudiness
205.35;31.12.2018;1380;Mon;Regular;-4.5;0;75
206.9;31.12.2018;1320;Mon;Regular;-4.5;0;75
203.42;31.12.2018;1260;Mon;Regular;-4.5;0;75
205.68;31.12.2018;1200;Mon;Regular;-3.1;0;100
209.77;31.12.2018;1140;Mon;Regular;-3.1;0;100
206.55;31.12.2018;1080;Mon;Regular;-3.1;0;100
210.33;31.12.2018;1020;Mon;Regular;-2.1;0;100
203.68;31.12.2018;960;Mon;Regular;-2.1;0;100
207.53;31.12.2018;900;Mon;Regular;-2.1;0;100
205.12;31.12.2018;840;Mon;Regular;-1.9;0;100
208.06;31.12.2018;780;Mon;Regular;-1.9;0;100
206.63;31.12.2018;720;Mon;Regular;-1.9;0;100
205.47;31.12.2018;660;Mon;Regular;-2.6;0;100
206.63;31.12.2018;600;Mon;Regular;-2.6;0;100
204.48;31.12.2018;540;Mon;Regular;-2.6;0;100
205.48;31.12.2018;480;Mon;Regular;-2.2;1;100
200.72;31.12.2018;420;Mon;Regular;-2.2;1;100
204.27;31.12.2018;360;Mon;Regular;-2.2;1;100
200.96;31.12.2018;300;Mon;Regular;-1.7;1;100
201.67;31.12.2018;240;Mon;Regular;-1.7;1;100
202.04;31.12.2018;180;Mon;Regular;-1.7;1;100
200.47;31.12.2018;120;Mon;Regular;-1.5;1;100
202.23;31.12.2018;60;Mon;Regular;-1.5;1;100
199.9;31.12.2018;0;Mon;Regular;-1.5;1;100
203.05;30.12.2018;1380;Sun;Regular;-1.5;1;100
202.93;30.12.2018;1320;Sun;Regular;-1.5;1;100
207.15;30.12.2018;1260;Sun;Regular;-1.5;1;100
206.04;30.12.2018;1200;Sun;Regular;-1.8;1;100
208.04;30.12.2018;1140;Sun;Regular;-1.8;1;100
207.77;30.12.2018;1080;Sun;Regular;-1.8;1;100
206.58;30.12.2018;1020;Sun;Regular;-2.0;1;100
208.74;30.12.2018;960;Sun;Regular;-2.0;1;100
207.47;30.12.2018;900;Sun;Regular;-2.0;1;100
212.92;30.12.2018;840;Sun;Regular;-3.0;0;100
210.76;30.12.2018;780;Sun;Regular;-3.0;0;100
214.23;30.12.2018;720;Sun;Regular;-3.0;0;100
210.29;30.12.2018;660;Sun;Regular;-3.8;0;100
212.5;30.12.2018;600;Sun;Regular;-3.8;0;100
209.26;30.12.2018;540;Sun;Regular;-3.8;0;100
207.41;30.12.2018;480;Sun;Regular;-4.6;1;100
206.97;30.12.2018;420;Sun;Regular;-4.6;1;100
206.5;30.12.2018;360;Sun;Regular;-4.6;1;100
210.86;30.12.2018;300;Sun;Regular;-5.2;0;100
207.6;30.12.2018;240;Sun;Regular;-5.2;0;100
210.69;30.12.2018;180;Sun;Regular;-5.2;0;100
207.78;30.12.2018;120;Sun;Regular;-5.8;0;100
208.92;30.12.2018;60;Sun;Regular;-5.8;0;100
207.85;30.12.2018;0;Sun;Regular;-5.8;0;100
207.8;29.12.2018;1380;Sat;Regular;-6.4;0;100
